category,gate_label,phenomenon,requested_count,train_count,development_count,holdout_count,counterfactual_pair_required,primary_risk
exact_keep,KEEP,simple_regular,12,8,2,2,false,false_edit
exact_keep,KEEP,hierarchical_header,12,8,2,2,false,false_edit
exact_keep,KEEP,row_or_column_span,12,8,2,2,false,false_edit
exact_keep,KEEP,empty_or_sparse_cells,8,6,2,0,false,false_edit
exact_keep,KEEP,dense_or_multiline_text,8,6,2,0,false,text_loss
exact_keep,KEEP,mixed_script_or_formula,6,4,2,0,false,text_loss
exact_keep,KEEP,clean_high_resolution_control,6,4,0,2,false,false_edit
hard_keep,KEEP,multilevel_irregular_header,12,8,2,2,true,false_edit
hard_keep,KEEP,mixed_two_dimensional_spans,12,8,2,2,true,false_edit
hard_keep,KEEP,weak_missing_or_partial_borders,12,8,2,2,true,false_edit
hard_keep,KEEP,empty_near_empty_or_sparse,8,6,2,0,true,false_edit
hard_keep,KEEP,dense_small_long_or_multiline_text,8,6,2,0,true,text_loss
hard_keep,KEEP,rotation_blur_compression_or_noise,8,4,2,2,true,false_edit
hard_keep,KEEP,color_background_or_alignment_trap,4,4,0,0,true,false_edit
single_minimal_edit,EDIT,extra_split,12,8,2,2,true,cell_inflation
single_minimal_edit,EDIT,missing_split,10,6,2,2,true,under_segmentation
single_minimal_edit,EDIT,incorrect_merge,10,6,2,2,true,content_reassignment
single_minimal_edit,EDIT,missing_merge,10,6,2,2,true,over_segmentation
single_minimal_edit,EDIT,span_extent_error,8,6,2,0,true,topology_error
single_minimal_edit,EDIT,token_ownership_error,6,4,2,0,true,text_loss
single_minimal_edit,EDIT,geometry_inconsistency,4,4,0,0,true,location_error
single_minimal_edit,EDIT,localized_grid_coverage_error,4,4,0,0,true,illegal_grid
complex_correction,EDIT,multilevel_header_with_spans,12,8,2,2,false,topology_error
complex_correction,EDIT,joint_split_and_merge,12,8,2,2,false,cell_inflation
complex_correction,EDIT,weak_border_with_topology_error,10,6,2,2,false,missed_edit
complex_correction,EDIT,empty_cells_with_spans,8,6,2,0,false,ownership_error
complex_correction,EDIT,dense_multiline_with_topology_error,8,6,2,0,false,text_loss
complex_correction,EDIT,mixed_script_formula_with_topology_error,6,4,2,0,false,text_loss
complex_correction,EDIT,rotation_noise_with_topology_error,8,6,0,2,false,geometry_error
