category,gate_label,phenomenon,requested_count,train_count,development_count,holdout_count,counterfactual_pair_required,primary_risk
exact_keep,KEEP,simple_regular,1875,1312,375,188,false,false_edit
exact_keep,KEEP,hierarchical_header,1875,1313,375,187,false,false_edit
exact_keep,KEEP,row_or_column_span,1875,1312,375,188,false,false_edit
exact_keep,KEEP,empty_or_sparse_cells,1250,875,250,125,false,false_edit
exact_keep,KEEP,dense_or_multiline_text,1250,875,250,125,false,text_loss
exact_keep,KEEP,mixed_script_or_formula,937,656,187,94,false,text_loss
exact_keep,KEEP,clean_high_resolution_control,938,657,188,93,false,false_edit
hard_keep,KEEP,multilevel_irregular_header,1875,1312,375,188,true,false_edit
hard_keep,KEEP,mixed_two_dimensional_spans,1875,1313,375,187,true,false_edit
hard_keep,KEEP,weak_missing_or_partial_borders,1875,1312,375,188,true,false_edit
hard_keep,KEEP,empty_near_empty_or_sparse,1250,875,250,125,true,false_edit
hard_keep,KEEP,dense_small_long_or_multiline_text,1250,875,250,125,true,text_loss
hard_keep,KEEP,rotation_blur_compression_or_noise,1250,875,250,125,true,false_edit
hard_keep,KEEP,color_background_or_alignment_trap,625,438,125,62,true,false_edit
single_minimal_edit,EDIT,extra_split,1875,1312,375,188,true,cell_inflation
single_minimal_edit,EDIT,missing_split,1563,1094,313,156,true,under_segmentation
single_minimal_edit,EDIT,incorrect_merge,1562,1094,312,156,true,content_reassignment
single_minimal_edit,EDIT,missing_merge,1563,1094,313,156,true,over_segmentation
single_minimal_edit,EDIT,span_extent_error,1250,875,250,125,true,topology_error
single_minimal_edit,EDIT,token_ownership_error,937,656,187,94,true,text_loss
single_minimal_edit,EDIT,geometry_inconsistency,625,438,125,62,true,location_error
single_minimal_edit,EDIT,row_or_column_assignment_error,625,437,125,63,true,topology_error
complex_correction,EDIT,multilevel_header_with_spans,1875,1312,375,188,false,topology_error
complex_correction,EDIT,joint_split_and_merge,1875,1313,375,187,false,cell_inflation
complex_correction,EDIT,weak_border_with_topology_error,1563,1094,313,156,false,missed_edit
complex_correction,EDIT,empty_cells_with_spans,1250,875,250,125,false,ownership_error
complex_correction,EDIT,dense_multiline_with_topology_error,1250,875,250,125,false,text_loss
complex_correction,EDIT,mixed_script_formula_with_topology_error,937,656,187,94,false,text_loss
complex_correction,EDIT,rotation_noise_with_topology_error,1250,875,250,125,false,geometry_error
